Pathway,Gene
DR_AR,AURKC
DR_AR,COL2A1
DR_AR,HKDC1
DR_AR,MCHR1
DR_AR,PODNL1
DR_AR,PTPRD
DR_AR,SOX11
DR_AR,CHIT1
DR_AR,HBA1
DR_AR,HBA2
DR_AR,HBB
DR_AR,HLA-G
DR_AR,PAGE2
DR_AR,S100A12
DR_AR,SPATA31A1
AR_DR,GRIK3
AR_DR,MYO1A
AR_DR,OR10A5
AR_DR,RFPL4A
AR_DR,TMEFF2
AR_DR,WWTR1
AR_PR,FGA
AR_PR,ISL1
AR_PR,LOC642366
AR_PR,NTNG1
AR_PR,RASGRP3
AR_PR,RP5-1073O3.7
AR_PR,SPINK5
PR_AR,ACTA1
PR_AR,COL2A1
PR_AR,ELF3
PR_AR,GTPBP6
PR_AR,HKDC1
PR_AR,NLGN3
PR_AR,PLEKHA6
PR_AR,POTEE
PR_AR,SERPINA3
PR_AR,SERPINA5
PR_AR,TMPRSS9
PR_AR,S100A12
PR_AR,SPATA31A1
DR_PR,ABCA12
DR_PR,ANGPT2
DR_PR,COPG2IT1
DR_PR,CSTA
DR_PR,ERBB4
DR_PR,FKBP7
DR_PR,FLG
DR_PR,GABRD
DR_PR,GJA1
DR_PR,GNA14
DR_PR,IL18
DR_PR,KRT10
DR_PR,LOC102724611
DR_PR,LRFN5
DR_PR,LRRN3
DR_PR,MIR155HG
DR_PR,NTNG1
DR_PR,PAMR1
DR_PR,PARVG
DR_PR,PCDH11X
DR_PR,PIANP
DR_PR,PODNL1
DR_PR,PRDM8
DR_PR,PTPN22
DR_PR,PTPRD
DR_PR,RASGRP1
DR_PR,SBSN
DR_PR,SH2D1B
DR_PR,SPINK5
DR_PR,SYT1
DR_PR,TRNT1
DR_PR,ABCC11
DR_PR,AQP6
DR_PR,C2orf71
DR_PR,CA14
DR_PR,CHADL
DR_PR,CHIT1
DR_PR,CIART
DR_PR,COL2A1
DR_PR,CYP1A1
DR_PR,GAPDHS
DR_PR,GPM6A
DR_PR,GPR1
DR_PR,HBA1
DR_PR,HBA2
DR_PR,HBB
DR_PR,LINC01531
DR_PR,MYO10
DR_PR,NALCN
DR_PR,NAMPT
DR_PR,OR2AT4
DR_PR,OSBPL1A
DR_PR,PSG1
DR_PR,PSG10P
DR_PR,PSG11
DR_PR,PSG4
DR_PR,PSG5
DR_PR,PSG6
DR_PR,PSG7
DR_PR,PSG8
DR_PR,PSG9
DR_PR,RNF148
DR_PR,SCARB1
DR_PR,TPCN2
DR_PR,TSPAN10
DR_PR,UCN2
PR_DR,ACHE
PR_DR,ACTA1
PR_DR,ADIRF
PR_DR,AMDHD1
PR_DR,ANXA11
PR_DR,ATG2A
PR_DR,CCL17
PR_DR,CLMN
PR_DR,CNNM4
PR_DR,DNAH8
PR_DR,ELF3
PR_DR,GABARAPL1
PR_DR,GIPC2
PR_DR,IL13RA2
PR_DR,KLF15
PR_DR,KRT7
PR_DR,LDHD
PR_DR,LINC00639
PR_DR,LIPH
PR_DR,LOC101927471
PR_DR,LOC101928882
PR_DR,LOC285389
PR_DR,LOC646976
PR_DR,LOC730338
PR_DR,MAMDC2
PR_DR,MAPRE3
PR_DR,MAT1A
PR_DR,NAPSA
PR_DR,NEB
PR_DR,ORMDL3
PR_DR,PCTP
PR_DR,PDK4
PR_DR,PEG3
PR_DR,PER1
PR_DR,PIGR
PR_DR,POTEE
PR_DR,PSMD3
PR_DR,RAB11FIP1
PR_DR,RORC
PR_DR,RP5-1043L13.1-2
PR_DR,SCN4A
PR_DR,TEK
PR_DR,TMEM139
PR_DR,TMEM140
PR_DR,TP53I13
PR_DR,TTR
PR_DR,TUBB1
PR_DR,WIPF2
PR_DR,BIN1
PR_DR,C4BPB
PR_DR,CAMK4
PR_DR,CEACAM5
PR_DR,CEACAM6
PR_DR,CFTR
PR_DR,CRYBG1
PR_DR,DCHS2
PR_DR,DNAH7
PR_DR,DPCR1
PR_DR,FAM133A
PR_DR,FER1L6
PR_DR,HECW1
PR_DR,KIAA1324
PR_DR,MUC6
PR_DR,MYO18B
PR_DR,OR10A5
PR_DR,PALM3
PR_DR,PGA4
PR_DR,POF1B
PR_DR,POTEF
PR_DR,POU6F2
PR_DR,PTN
PR_DR,RIMS1
PR_DR,SNED1
PR_DR,SPDYE17
PR_DR,SULT1C4
PR_DR,TDRD1
PR_DR,TGFBI
PR_DR,TMEFF2
PR_DR,TPTE2
PR_DR,UNC13C
PR_DR,VSIG2
PR_DR,WWTR1
PR_DR,ZNF726
PR_DR,ZNF730
PR_DR,ZNF90
