Pathway,Gene
IFNG,SELP
IFNG,RAPGEF6
IFNG,PARP12
IFNG,CIITA
IFNG,ZBP1
IFNG,OASL
IFNG,CD274
IFNG,IFI27
IFNG,IFIT1
IFNG,IFIT2
IFNG,OAS3
IFNG,MX1
IFNG,PARP14
IFNG,XAF1
IFNG,CMPK2
IFNG,SP110
IFNG,OAS2
IFNG,USP18
IFNG,HERC6
IFNG,SAMD9L
IFNG,RTP4
IFNG,RSAD2
IFNG,IFI35
IFNG,LY6E
IFNG,IFIT3
IFNG,IFI44
IFNG,SERPING1
IFNG,CASP7
IFNG,RBCK1
IFNG,IL15RA
IFNG,DDX60
IFNG,APOL6
IFNG,PLSCR1
IFNG,STAT4
IFNG,OGFR
IFNG,TOR1B
IFNA,PARP12
IFNA,OASL
IFNA,TMEM140
IFNA,IFI27
IFNA,IFIT2
IFNA,MX1
IFNA,PARP14
IFNA,CMPK2
IFNA,SP110
IFNA,USP18
IFNA,SAMD9
IFNA,HERC6
IFNA,SAMD9L
IFNA,RTP4
IFNA,RSAD2
IFNA,IFI35
IFNA,IL7
IFNA,LY6E
IFNA,IFIT3
IFNA,IFI44
IFNA,DDX60
IFNA,PARP9
MYC,CCT2
MYC,APEX1
MYC,PSMA4
MYC,GOT2
MYC,ILF2
MYC,UBE2E1
MYC,EIF4E
MYC,NAP1L1
MYC,SSB
MYC,PSMC6
MYC,PA2G4
MYC,RPL14
MYC,YWHAQ
MYC,RPL34
MYC,CDK2
MYC,PRDX4
MHCII,DYNLL1
MHCII,OSBPL1A
MHCII,SEC23A
MHCII,SEC31A
MHCII,TUBA1A
MHCII,TUBA1B
MHCII,TUBB4A
MHCII,TUBB6
